from,to,rate
USDT@Binance,BTC@Binance,1.356837242715257e-05
BTC@Binance,USDT@Binance,73553.54282999999
USDT@Binance,ETH@Binance,0.0004970698280413772
ETH@Binance,USDT@Binance,2007.76023
USDT@Coinbase,BTC@Coinbase,1.3573349338614245e-05
BTC@Coinbase,USDT@Coinbase,73379.66656
BTC@Binance,BTC@Coinbase,0.999
BTC@Coinbase,BTC@Binance,0.999
USDT@Coinbase,ETH@Coinbase,0.0004972739689658278
ETH@Coinbase,USDT@Coinbase,2002.92612
ETH@Binance,ETH@Coinbase,0.999
ETH@Coinbase,ETH@Binance,0.999
USDT@TestExchange,BTC@TestExchange,8.687529333985767e-06
BTC@TestExchange,USDT@TestExchange,114942.5
BTC@Binance,BTC@TestExchange,0.999
BTC@TestExchange,BTC@Binance,0.999
USDT@TestExchange,ETH@TestExchange,0.00014258206132311877
ETH@TestExchange,USDT@TestExchange,6996.5
ETH@Binance,ETH@TestExchange,0.999
ETH@TestExchange,ETH@Binance,0.999
